Cell	Cluster	Lineage1	Lineage2	Stage	Color
E13_MS10T45	1	EXMC	EX	E13	cyan
E13_MS10T46	1	EXMC	EX	E13	cyan
E13_MS10T48	1	EXMC	EX	E13	cyan
E13_MS10T49	1	EXMC	EX	E13	cyan
E13_MS13T66	1	EXMC	EX	E13	cyan
E13_MS13T67	1	EXMC	EX	E13	cyan
E13_MS13T68	1	EXMC	EX	E13	cyan
E13_MS13T69	1	EXMC	EX	E13	cyan
E13_MS13T70	1	EXMC	EX	E13	cyan
E13_MS13T71	1	EXMC	EX	E13	cyan
E13_MS13T72	1	EXMC	EX	E13	cyan
E13_MS13T73	1	EXMC	EX	E13	cyan
E13_MS61T44	1	EXMC	EX	E13	cyan
E13_MS61T49	1	EXMC	EX	E13	cyan
E13_MS61T50	1	EXMC	EX	E13	cyan
E13_MS61T51	1	EXMC	EX	E13	cyan
E14_MS09T03	2	EXMC	EX	E14	cyan
E14_MS09T05	2	EXMC	EX	E14	cyan
E14_MS09T08	2	EXMC	EX	E14	cyan
E14_MS09T09	2	EXMC	EX	E14	cyan
E14_MS09T12	2	EXMC	EX	E14	cyan
E14_MS09T13	2	EXMC	EX	E14	cyan
E14_MS09T14	2	EXMC	EX	E14	cyan
E14_MS09T15	2	EXMC	EX	E14	cyan
E14_MS09T16	2	EXMC	EX	E14	cyan
E14_MS09T17	2	EXMC	EX	E14	cyan
E14_MS09T19	2	EXMC	EX	E14	cyan
E14_MS09T20	2	EXMC	EX	E14	cyan
E14_MS13T88	2	EXMC	EX	E14	cyan
E14_MS13T89	2	EXMC	EX	E14	cyan
E16_MS09T35	2	EXMC	EX	E16	cyan
E16_MS09T40	2	EXMC	EX	E16	cyan
E13_MS61T45	3	Gast1	EPI	E13	darkred
E13_MS61T54	3	Gast1	EPI	E13	darkred
E14_MS13T75	3	Gast1	EPI	E14	darkred
E14_MS13T77	3	Gast1	EPI	E14	darkred
E14_MS13T79	3	Gast1	EPI	E14	darkred
E14_MS13T80	3	Gast1	EPI	E14	darkred
E14_MS13T82	3	Gast1	EPI	E14	darkred
E14_MS13T83	3	Gast1	EPI	E14	darkred
E14_MS13T85	3	Gast1	EPI	E14	darkred
E14_MS13T87	3	Gast1	EPI	E14	darkred
E14_MS13T90	3	Gast1	EPI	E14	darkred
E14_MS61T65	3	Gast1	EPI	E14	darkred
E16_MS08T57	3	Gast1	EPI	E16	darkred
E16_MS08T58	3	Gast1	EPI	E16	darkred
E16_MS08T59	3	Gast1	EPI	E16	darkred
E16_MS09T27	3	Gast1	EPI	E16	darkred
E17_MS11T77	3	Gast1	EPI	E17	darkred
E17_MS11T82	3	Gast1	EPI	E17	darkred
E16_MS08T72	4	Gast2a	EPI	E16	pink
E16_MS08T73	4	Gast2a	EPI	E16	pink
E16_MS09T30	4	Gast2a	EPI	E16	pink
E17_MS10T64	4	Gast2a	EPI	E17	pink
E17_MS10T65	4	Gast2a	EPI	E17	pink
E17_MS10T67	4	Gast2a	EPI	E17	pink
E17_MS10T69	4	Gast2a	EPI	E17	pink
E17_MS10T70	4	Gast2a	EPI	E17	pink
E17_MS10T75	4	Gast2a	EPI	E17	pink
E17_MS10T76	4	Gast2a	EPI	E17	pink
E17_MS10T89	4	Gast2a	EPI	E17	pink
E17_MS11T47	4	Gast2a	EPI	E17	pink
E17_MS11T48	4	Gast2a	EPI	E17	pink
E16_MS08T67	5	Gast2b	EPI	E16	purple
E16_MS08T76	5	Gast2b	EPI	E16	purple
E16_MS09T22	5	Gast2b	EPI	E16	purple
E16_MS09T24	5	Gast2b	EPI	E16	purple
E16_MS09T25	5	Gast2b	EPI	E16	purple
E16_MS09T33	5	Gast2b	EPI	E16	purple
E17_MS10T78	5	Gast2b	EPI	E17	purple
E17_MS10T83	5	Gast2b	EPI	E17	purple
E17_MS10T95	5	Gast2b	EPI	E17	purple
E17_MS10T96	5	Gast2b	EPI	E17	purple
E17_MS11T83	5	Gast2b	EPI	E17	purple
E17_MS13T94	5	Gast2b	EPI	E17	purple
E17_MS13T96	5	Gast2b	EPI	E17	purple
E07_MS03T53	6	Hypoblast	EX	E07	lightblue
E07_MS03T54	6	Hypoblast	EX	E07	lightblue
E07_MS03T56	6	Hypoblast	EX	E07	lightblue
E07_MS03T57	6	Hypoblast	EX	E07	lightblue
E07_MS03T61	6	Hypoblast	EX	E07	lightblue
E07_MS03T62	6	Hypoblast	EX	E07	lightblue
E07_MS03T64	6	Hypoblast	EX	E07	lightblue
E07_MS03T71	6	Hypoblast	EX	E07	lightblue
E07_MS03T72	6	Hypoblast	EX	E07	lightblue
E07_MS08T43	6	Hypoblast	EX	E07	lightblue
E08_MS02T03	6	Hypoblast	EX	E08	lightblue
E08_MS02T08	6	Hypoblast	EX	E08	lightblue
E08_MS02T09	6	Hypoblast	EX	E08	lightblue
E08_MS02T12	6	Hypoblast	EX	E08	lightblue
E08_MS02T13	6	Hypoblast	EX	E08	lightblue
E08_MS02T14	6	Hypoblast	EX	E08	lightblue
E08_MS02T15	6	Hypoblast	EX	E08	lightblue
E08_MS02T18	6	Hypoblast	EX	E08	lightblue
E08_MS02T20	6	Hypoblast	EX	E08	lightblue
E08_MS02T21	6	Hypoblast	EX	E08	lightblue
E08_MS02T22	6	Hypoblast	EX	E08	lightblue
E08_MS02T23	6	Hypoblast	EX	E08	lightblue
E08_MS02T26	6	Hypoblast	EX	E08	lightblue
E08_MS02T28	6	Hypoblast	EX	E08	lightblue
E08_MS02T29	6	Hypoblast	EX	E08	lightblue
E08_MS02T32	6	Hypoblast	EX	E08	lightblue
E08_MS02T35	6	Hypoblast	EX	E08	lightblue
E08_MS02T37	6	Hypoblast	EX	E08	lightblue
E08_MS02T39	6	Hypoblast	EX	E08	lightblue
E08_MS02T40	6	Hypoblast	EX	E08	lightblue
E08_MS02T41	6	Hypoblast	EX	E08	lightblue
E08_MS02T42	6	Hypoblast	EX	E08	lightblue
E08_MS02T46	6	Hypoblast	EX	E08	lightblue
E08_MS02T49	6	Hypoblast	EX	E08	lightblue
E08_MS02T50	6	Hypoblast	EX	E08	lightblue
E08_MS02T53	6	Hypoblast	EX	E08	lightblue
E08_MS02T54	6	Hypoblast	EX	E08	lightblue
E08_MS02T56	6	Hypoblast	EX	E08	lightblue
E08_MS02T63	6	Hypoblast	EX	E08	lightblue
E08_MS02T66	6	Hypoblast	EX	E08	lightblue
E08_MS02T67	6	Hypoblast	EX	E08	lightblue
E08_MS02T68	6	Hypoblast	EX	E08	lightblue
E08_MS02T71	6	Hypoblast	EX	E08	lightblue
E08_MS02T77	6	Hypoblast	EX	E08	lightblue
E08_MS02T80	6	Hypoblast	EX	E08	lightblue
E08_MS02T81	6	Hypoblast	EX	E08	lightblue
E08_MS03T02	6	Hypoblast	EX	E08	lightblue
