	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
1	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	26.2126	17.92095	-8.29165	0	1	0.777603745134502	ANKRD22
2	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	25.2091	17.7051	-7.504	-0.787650000000003	1.72626027299037	1.34234645335422	ANKRD22
3	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	26.0015	17.8884	-8.1131	-0.178550000000001	1.13174583715393	0.880049801511279	ANKRD22
4	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	33.8704	18.33625	-15.53415	7.2425	0.0066037444150812	0.00513509638907819	ANKRD22
5	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	33.3759	18.35405	-15.02185	6.7302	0.00941906780326323	0.00732430239949329	ANKRD22
6	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	32.8496	18.32545	-14.52415	6.2325	0.0132993541798441	0.010341627618117	ANKRD22
7	SB_rep1	SB	SB	Control	16.018	18.2822	23.6557	17.1501	-6.5056	-1.78605	3.44869370061501	2.68171713741999	ANKRD22
8	SB_rep2	SB	SB	Control	16.3221	18.5011	23.7672	17.4116	-6.3556	-1.93605	3.82656524871509	2.97555146840239	ANKRD22
9	SB_rep3	SB	SB	Control	16.4114	18.6363	24.1666	17.52385	-6.64275	-1.6489	3.1359444416646	2.43852214237212	ANKRD22
10	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	32.6421	18.3919	-14.2502	5.95855	0.0160804322765045	0.0125042043615916	ANKRD22
11	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	33.2196	19.05685	-14.16275	5.8711	0.0170853072189002	0.0132855988801903	ANKRD22
12	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	33.3506	18.74695	-14.60365	6.312	0.0125863170476367	0.00978716727369253	ANKRD22
13	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	22.11	17.92095	-4.18905	0	1	1.05950921538451	CDH1
14	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	22.0438	17.7051	-4.3387	0.149649999999998	0.901469133860745	0.955114854710156	CDH1
15	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	22.1821	17.8884	-4.2937	0.104649999999996	0.930030542063497	0.98537592990533	CDH1
16	DMSO.DOX_rep1	DMSO.DOX	DMSO	DOX	17.3887	19.2838	28.5564	18.33625	-10.22015	6.0311	0.0152917783054224	0.016201780034212	CDH1
17	DMSO.DOX_rep2	DMSO.DOX	DMSO	DOX	17.4432	19.2649	28.6365	18.35405	-10.28245	6.0934	0.0146454872279009	0.0155170286817572	CDH1
18	DMSO.DOX_rep3	DMSO.DOX	DMSO	DOX	17.3689	19.282	28.2936	18.32545	-9.96815	5.7791	0.0182103189339829	0.0192940007256459	CDH1
19	SB_rep1	SB	SB	Control	16.018	18.2822	21.7955	17.1501	-4.6454	0.456349999999997	0.728827853218745	0.772199826914172	CDH1
20	SB_rep2	SB	SB	Control	16.3221	18.5011	22.0238	17.4116	-4.6122	0.42315	0.745794467514637	0.790176111114545	CDH1
21	SB_rep3	SB	SB	Control	16.4114	18.6363	22.2514	17.52385	-4.72755	0.538499999999999	0.68848637064529	0.729457654365323	CDH1
22	SB.DOX_rep1	SB.DOX	SB	DOX	17.0539	19.7299	27.8469	18.3919	-9.455	5.26595	0.0259890912718749	0.0275356817020206	CDH1
23	SB.DOX_rep2	SB.DOX	SB	DOX	17.836	20.2777	28.4982	19.05685	-9.44135	5.2523	0.0262361529325991	0.0277974458083262	CDH1
24	SB.DOX_rep3	SB.DOX	SB	DOX	17.43	20.0639	28.6775	18.74695	-9.93055	5.7415	0.0186911610650254	0.0198034573946306	CDH1
25	DMSO_rep1	DMSO	DMSO	Control	16.9164	18.9255	21.7537	17.92095	-3.83275	0	1	1.06756095364597	CLDN1
26	DMSO_rep2	DMSO	DMSO	Control	16.6856	18.7246	21.5014	17.7051	-3.7963	-0.0364500000000021	1.02558708526166	1.09487672678894	CLDN1
27	DMSO_rep3	DMSO	DMSO	Control	17.0193	18.7575	22.0712	17.8884	-4.1828	0.35005	0.784556906755172	0.837562319565087	CLDN1
