	sample.name	sample	treatment1	treatment2	GAPDH	ACTIN	TARGET	ISmean.Ct	dCT	ddCT	RQ	adjRQ	gene
1	WT_rep1	WT	WT	Control	15.60806274	17.42342186	20.93419456	16.5157423	-4.41845226	0	1	0.92553932857069	CDH1
2	WT_rep2	WT	WT	Control	15.12668324	16.93009949	20.33978081	16.028391365	-4.311389445	-0.107062815000003	1.07703326924396	0.996836648864352	CDH1
3	WT_rep3	WT	WT	Control	15.41189861	17.23838615	20.64487648	16.32514238	-4.3197341	-0.0987181600000007	1.07082161068606	0.991087514573363	CDH1
4	WT_rep4	WT	WT	Control	15.43656254	17.18859482	20.49966049	16.31257868	-4.18708181	-0.231370450000004	1.17394958209883	1.08653650799159	CDH1
5	WT.TGFb_rep1	WT.TGFb	WT	TGFb	16.57747078	17.33676529	23.44244194	16.957118035	-6.485323905	2.066871645	0.238676487376396	0.22090447587196	CDH1
6	WT.TGFb_rep2	WT.TGFb	WT	TGFb	16.84258652	17.8599472	23.78666687	17.35126686	-6.43540001	2.01694775	0.247080361207805	0.228682591615275	CDH1
7	WT.TGFb_rep3	WT.TGFb	WT	TGFb	16.8386879	17.55026245	23.53666687	17.194475175	-6.342191695	1.923739435	0.26357045495634	0.243944821911362	CDH1
8	WT.TGFb_rep4	WT.TGFb	WT	TGFb	16.91039276	17.92844391	23.92697144	17.419418335	-6.507553105	2.089100845	0.235027121556836	0.217526844281616	CDH1
9	dZEB1_rep1	dZEB1	dZEB1	Control	15.50782108	17.71746254	20.63792992	16.61264181	-4.02528811	-0.39316415	1.31327054098994	1.21548353473949	CDH1
10	dZEB1_rep2	dZEB1	dZEB1	Control	15.29206753	17.2262001	20.45138931	16.259133815	-4.192255495	-0.226196765000001	1.16974719160598	1.08264703031644	CDH1
11	dZEB1_rep3	dZEB1	dZEB1	Control	15.17230129	17.18732452	20.30387497	16.179812905	-4.124062065	-0.294390195000002	1.22636650143137	1.13505042831638	CDH1
12	dZEB1_rep4	dZEB1	dZEB1	Control	15.49681187	17.96401978	20.60622406	16.730415825	-3.875808235	-0.542644025000005	1.45663965381613	1.34817728716242	CDH1
13	dZEB1.TGFb_rep1	dZEB1.TGFb	dZEB1	TGFb	16.1673336	17.43265343	21.11666298	16.799993515	-4.316669465	-0.101782794999998	1.07309871381832	0.993195063077483	CDH1
