Gene,ACC,BLCA,BRCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS
A1BG-AS1,0.235466995,-0.246332703,2.33425676,0.661407278,0.093802222,-0.034182226,0.882489817,0.65753487,1.63498123,0.776862278,-0.533329412,0.666596158,0.227007471,2.624502058,1.610826795,0.092958223,1.81214909,1.813812135,0.617239645,0.330567622,1.938235621,0.414307358,0.394422494,1.586368846,1.836433917,-0.160979038,0.601059744,1.929858432,0.999128319,1.482717956,2.34904
ADAMTSL4-AS1,-2.559373892,-1.535718053,-1.550564539,-1.737918354,-0.821042222,-1.518194821,0.154364969,-0.310101418,-3.323723728,-2.259854626,-3.475239496,-2.246309639,-2.375848276,1.616668724,-3.186557815,-2.004322117,-0.455084752,-0.943562128,-0.97993215,-1.608314613,-2.240972222,-2.109669531,-1.191800489,-2.295140385,-1.210085339,-0.520419592,-0.688426837,-1.455861639,-0.3746,-1.704484749,-1.68349037
ADPGK-AS1,-4.125510345,-4.804133149,-3.527661789,-4.306221835,-5.032195556,-4.655826403,-2.911357637,-4.32586513,-1.17425879,-4.388835053,-5.418451261,-3.832553943,-4.352536782,0.190957202,-1.364386482,-6.184668998,-2.65194463,-3.060218013,-3.937974359,-4.365836676,-4.820879739,-0.425207265,-4.649968704,-4.014736923,-3.333546718,-3.254265545,-0.392892652,-3.902817815,-3.131632035,-4.825373728,-4.199594815
ALOX12-AS1,2.109049261,1.500469139,2.130427484,1.563749684,1.801464444,1.900225752,1.704249898,2.481120095,2.697001732,1.163754448,1.717396639,2.411825609,2.450323563,3.419125926,2.971386964,1.166713043,2.032437885,1.97232957,2.462415385,1.433140974,2.028968301,2.56399551,2.185312958,2.349108462,2.592733807,1.845186477,2.498138978,2.673228385,1.835501947,2.168276873,2.625877778
AP4B1-AS1,-1.62094532,-2.51563484,-2.030724036,-2.018995886,-2.705115556,-0.590314592,-1.183360081,-0.347037116,-0.871153626,-3.735148577,-3.318968067,-2.715843213,-3.012818391,1.092899177,-1.061489861,-3.751089414,-0.959100962,-1.329394354,-1.466594083,-0.745564183,-2.091031046,-2.515151457,-0.293471394,-2.847195385,-0.873209081,-1.019127287,-0.016202236,-1.453297743,-1.216653274,-1.626558947,-0.842983704
ARAP1-AS2,-2.499882759,-4.118169396,-3.714243819,-4.637149684,-3.699988889,-2.629242301,-0.932913849,-1.651594799,-2.056572477,-5.268117794,-2.925131933,-3.546294452,-4.151468391,1.167609877,-2.018873325,-5.483634594,-1.915609901,-2.085038798,-2.30070217,-2.949465043,-2.622878431,-4.302022883,-2.125182885,-4.216900769,-2.495585339,-2.238297185,-1.926801597,-2.720524347,-1.520347611,-4.044129568,-2.676817037
BIRC6-AS1,-9.182379803,-9.336310404,-9.352752229,-9.372598418,-9.46284,-9.131477117,-9.064383299,-8.103978842,-9.222409342,-9.539155872,-9.686779832,-9.235682537,-9.441931322,-1.14376214,-9.187063911,-9.668715123,-9.02574085,-9.174136842,-8.313526036,-9.206659599,-9.317976144,-9.352689873,-9.269059902,-9.735233846,-9.018476039,-6.362295185,-8.933832907,-9.300036936,-9.123005841,-9.219227747,-8.82242963
BIRC6-AS2,-7.856733005,-7.691315206,-7.318851165,-8.171210759,-7.417902222,-7.525238982,-7.450825662,-5.970521986,-6.653072095,-8.725319929,-8.891239496,-7.192511571,-8.425541667,-0.02693786,-6.47484834,-8.589437051,-6.379882271,-6.158791268,-6.025456016,-7.350271633,-7.423848693,-7.751088526,-7.343419315,-8.68768,-5.841637856,-5.434473062,-3.37518147,-7.538455582,-7.50024531,-7.680845639,-7.056278519
BZRAP1-AS1,-0.832694089,-1.369920879,-0.2463994,-0.988525949,-1.27606,0.581821611,2.065815071,-0.040517494,1.02724468,-1.389575445,-2.533557143,-0.724076397,-1.331007759,3.430644444,1.116132589,-2.794603403,0.200788696,0.075827705,-0.502900986,-2.371965616,-0.141561438,0.346199558,0.526326406,1.349678462,-1.528568928,-0.29732299,-0.012475719,-0.944354751,2.110035752,-0.417299632,0.255731111
C1RL-AS1,0.667794581,1.115356086,1.009120822,1.285236392,1.65298,1.161871153,1.151347454,1.764301655,-1.764989269,0.767850356,-0.152743697,2.370211722,1.655642816,2.887471605,-2.165596439,1.174659357,1.580898378,1.686427516,1.055939053,1.162785673,-0.073597712,0.166970402,1.310466748,0.108141538,1.221001094,1.050948107,0.906617891,0.91312209,1.175361947,1.091180803,1.747859259
CELF2-AS1,-5.638105419,-7.432199848,-4.750927616,-7.220620253,-6.51782,-3.074828225,-1.390737271,-2.29889208,-2.871754115,-6.634025445,-5.317248739,-4.559482364,-5.849834483,1.401352675,-2.555700422,-7.220283743,-2.325718016,-2.912098206,-5.059111834,-5.672596562,-5.952667974,-5.564807829,-2.424623227,-5.786236154,-2.611909628,-3.387879726,-1.537214377,-4.417521021,-1.632036814,-5.516022051,-3.513017037
CFLAR-AS1,-0.61180197,-2.036045743,-1.592523681,-1.936444937,-0.615917778,-0.81709368,0.989804481,0.4018013,-1.810824713,-2.235477224,-1.944321008,0.009044042,-0.95785546,2.373557613,-2.146901811,-2.742071645,0.724649378,0.142546057,-1.252649507,-0.90822235,-1.640966013,-1.9260509,-0.488356479,-3.227703846,-0.04345919,0.066527147,0.032555591,0.073645962,0.277047257,-1.953122452,-1.402495556
CIRBP-AS1,0.459608374,-0.004289445,0.027316861,0.474119304,-0.153662222,-0.203479994,-1.253675967,0.287350946,-0.395367612,0.006796085,-0.595117647,-0.479353936,-0.196916379,1.065511111,-0.277231925,-0.507251607,0.071993608,0.33671697,-0.281958777,-0.18483553,0.442461438,0.562188263,-0.237285819,0.583160385,0.627184902,0.082255338,0.963610863,0.315378147,-1.00070177,0.180284121,0.251465926
CTBP1-AS,-0.642711823,-1.77206131,-1.186652468,-1.812299367,-1.296628889,-0.566508162,-0.904272301,0.037955674,-0.651917777,-2.992522954,-2.080731933,-1.792592316,-1.805880172,1.284818519,-0.666113156,-2.587497164,-0.525010439,-0.945509411,-1.287776331,-0.430922636,-0.870983007,0.413925755,-0.088343521,-1.836227308,0.212073961,-0.869350701,-0.338949521,-0.87067696,-0.978045133,-1.25114617,-0.180677037
DLGAP1-AS2,1.645823153,1.238951377,0.173383896,0.617072785,0.666324444,1.547741426,-0.513754582,0.546931087,0.465698534,-0.238983274,0.382284874,0.062015327,1.090016954,2.31995679,0.514281412,-1.170182609,1.082787415,1.512199216,1.039229191,0.118351862,0.548391503,0.730002744,1.366312714,0.939569615,0.340437637,0.787283469,2.112529712,1.26473943,-0.293382301,1.726480813,1.673360741
EAF1-AS1,-2.762734483,-3.837043675,-2.623348126,-4.05045,-3.529406667,-2.624476686,-2.77169613,-1.788163712,-2.101632717,-5.02417153,-3.543430252,-2.985703776,-3.036933908,0.776811523,-2.093647797,-3.247279017,-2.489966687,-2.554704112,-1.682686588,-3.095019198,-2.325785621,-2.371359794,-2.173585575,-3.516288462,-2.490452735,-2.054368232,-0.37516901,-2.300331829,-2.528074336,-2.471539778,-1.944295556
ENTPD1-AS1,1.647592118,0.857532699,1.604083149,0.999917405,0.418562222,1.313278361,-0.519174949,1.280119504,0.217773207,0.963602847,0.925909244,1.75721436,1.060322414,3.517877366,0.631614424,-0.479760491,1.298346758,1.523920191,0.833219921,0.305792264,1.082005556,1.064847586,1.175660147,1.042855,1.5718814,1.550485573,2.18827476,1.286209145,-0.309456283,0.972680441,1.587377037
EP300-AS1,-3.858366502,-3.583837319,-3.102290072,-2.276779114,-3.29772,-2.922311984,-5.017765988,-1.892635225,-5.160716227,-4.173035053,-3.125176471,-2.995708269,-4.34791523,0.346858436,-5.195623959,-3.200979773,-1.725617655,-2.137579904,-2.911439053,-3.664649857,-3.419638889,-3.383221568,-2.799840831,-4.973512692,-1.747836761,-2.192740289,-0.763863259,-3.820576366,-4.820095398,-3.767660433,-4.144960741
EPHA1-AS1,-4.785359113,-0.914602982,-2.308166971,-0.872199684,-3.370013333,-2.222832547,-2.209758452,-1.389004965,-4.450328516,-1.336760854,-4.895078992,-2.495554879,-3.231798563,1.545278189,-4.260718407,-4.676527977,-1.215311466,-0.812714376,-1.454283432,-3.270509742,-4.713150327,-3.412098163,-2.326102689,-2.096704615,-3.14962965,-2.010160904,-0.574077636,-3.61141152,-1.466655398,-1.728927281,-1.985322963
FAM13A-AS1,0.324669458,-0.32100089,-0.311532717,0.22549557,-0.545871111,0.320019266,1.446405092,1.431104374,1.466983458,-1.442999288,-0.360464706,0.54627777,-0.104438218,2.504598765,1.3218,-1.608421739,0.930988074,0.675159635,-1.135750493,0.411541547,-0.076667974,0.598656352,1.004024205,-0.862538462,1.975314333,-0.105760995,0.77151885,0.667136223,1.619190088,0.097068027,1.146134815
FBXL19-AS1,-0.659671429,-1.013342016,0.02049803,-1.519404747,-0.739424444,-0.705967172,-2.699314868,-0.670346217,-0.846146269,-1.58519484,-0.965102521,-0.894562253,-0.346175862,1.797893004,-0.759157333,-2.535780907,-0.477534229,-0.886760181,-0.36775641,-1.791675358,-0.97634085,-0.235809048,-0.765335208,-1.322252692,-1.423483917,-0.434976792,-0.002191374,-0.943831116,-2.411617522,-0.894111381,-0.537699259
GABPB1-AS1,1.98918867,1.927379001,2.122291401,1.730103481,2.074697778,1.953466128,0.946966191,2.343027778,2.242654433,1.147972064,1.504147059,1.534175623,1.740148851,4.717854321,2.494624321,1.892903403,2.006602645,2.200795361,2.36227002,1.352396848,2.200780719,2.617932324,2.119696577,2.486843077,2.966945514,1.609280795,3.080125559,2.571576128,1.309834513,2.344056789,3.034455556
