Entry,C1,C2,C3,F1,F2,F3
R4GJ21,4834,3687,6836,378,641,803
F1P3X1,4540,3651,7067,418,661,879
F1P493,4317,2950,5640,311,560,648
F1P3W8,4278,3089,5713,321,564,717
R4GIG1,3356,2368,4157,214,416,484
R4GLP6,3275,2543, ,60,131,261
F1P3X4,3246,2354,4381,244,447,557
R4GMK5,2933,2026,4404,200,427,423
P13538,2929,2022,4330,200,424,423
P02565,2879,2159,3843,206,413,472
F1NJ08,2441,1660,1129,3568,4603,3554
P09654,2159,1389,1010,3259,3818,3169
P19121,1960,2152,1608,2831,2530,3250
F2Z4L6,1905,2017,1561,2699,2474,3126
P68139,1826,1747,3052,694,729,765
P00356,1764,920,1918,773,554,981
F1NH87,1759,915,1912,768,551,977
P08023,1719,1647,2872,698,706,748
P68034,1719,1647,2872,698,706,748
F1P476,1719,1647,2872,698,706,748
P63270,1705,1638,2859,686,696,734
F1N8P3,1656,1588,2783,632,666,685
F1P2F0,1337,2380, ,2106,1342,2299
P15989,1332,2369, ,2088,1338,2281
Q5ZMQ2,1280,1046,827,1376,1258,1413
P53478,1276,1044,827,1375,1254,1411
P60706,1276,1044,827,1375,1255,1411
F1NDC6,1059,650,1428,56,112,140
F1NM49,863,421,1290,54,106,108
P00565,840,680,1233,85,185,225
P29616,800,367,1133,48,88,97
E1C523,794,613, ,69,133,186
F1NII7,751,647, ,638,1108,1048
P09244,700,593,432,777,730,885
P13585,688,368,1481,53,74,88
E1BQC2,684,550,364,668,627,737
F1NYB1,648,510,395,649,589,722
P02789,642,529,385,666,593,702
P09206,625,500,384,636,570,700
F1P1D5,588,366, ,53,102,101
F1NCD4,566,315, ,621,582,611
P02609,564,477,921,68,94,135
P14105,563,315, ,619,580,607
P00548,529,350,579,214,256,278
F1NW43,524,336,543,232,285,300
P15988,522,801,526,941,501,1071
R4GKA6,522,801,526,941,501,1071
G1K342,521,444,352,576,514,637
P02604,518,358,712,66,118,145
P20785,510,906,476,792,566,952
F1NFE0,510,906,476,792,566,952
P20111,505,383, ,84,99,111
Q90WH5,501,321, ,46,88,88
P02552,501,353,290,724,694,758
R9PXQ0,495,370, ,82,99,110
F1NHT3,494,333, ,439,456,506
P32882,478,399,311,544,471,544
G1K338,478,396,311,544,472,547
P07322,463,448,979,66,116,100
F1NWP3,456,272,253,347,360,367
P11501,452,206,261,375,347,387
P07751,441,290, ,386,399,453
P02605,430,298,563,65,100,130
F1NZG0,430,298,563,65,100,130
P17785,425,283,237,420,398,471
F1N9J7,419,307,249,597,621,610
P09653,416,342,266,408,375,444
P08110,415,256,187,385,339,429
F1NWB7,415,256,187,385,339,429
H9L340,412,349,393,363,404,423
O73885,406,235,220,297,294,309
P01994,399,238,327,622,816,713
Q5ZLC5,391,349,363,352,400,404
F1NZ78,368,268,362,239,328,260
F1NDE8,367,267,190,491,809,607
F1N8D4,364,179, ,334,311,325
F1NXR6,363,259,250,518,415,492
H9KZK6,351,285,230,522,358,480
F1N8A8,345,102,73,270,325,217
E1BWG0,345,102,73,270,325,217
E1C2S1,344,207, ,380,333,372
R4GJH8,341,245, ,360,382,425
F1ND51,340,243, ,359,380,423
P51913,340,247,338,215,304,234
P09203,338,289,201,431,372,423
P54939,333,199, ,369,321,360
F1NW97,319,206,211,453,379,444
P12276,316,97,67,248,295,195
Q789A6,304,209, ,422,266,353
P13731,304,517,236,468,403,535
F1NVN4,301,139,173,250,226,266
F6U7Z0,300,218, ,5,15,26
Q90835,299,261,179,472,280,408
P12620,298,174,467,7,20,22
A0A0A0MQ44,298,174,467,7,20,22
Q90734,297,162, ,241,228,212
F1N8W3,293,352, ,504,269,424
F1NDL1,292,259, ,13,16,40
Q90593,292,211, ,263,270,324
F1NFS0,291,254, ,284,221,289
F1NGF6,288,212, ,14,13,25
R4GK33,288,252, ,282,218,283
Q90705,287,251, ,281,218,284
Q03669,286,220, ,72,83,95
A0A0A0MQ65,286,220, ,72,83,95
Q5ZL72,282,167,172,205,191,197
P05094,279,178, ,259,151,195
Q5F420,279,98, ,322,431,299
F1P4N9,279,327, ,489,250,398
F1P4L6,278,161,435,7,17,22
R9PXN5,275,181, ,248,149,195
R9PXN4,274,178, ,242,146,192
P09652,270,219,156,333,307,359
O93532,269,70,40,86,103,94
P09645,260,203,174,411,360,383
P00940,258,278,333,173,214,208
F1P088,255,197,94,294,511,353
Q8JG64,251,167,140,236,250,278
P17153,251,135,122,360,359,341
F1NJI0,251,135,122,360,359,341
F1NMU4,248,210,147,287,275,326
F1NI22,239,186,240,229,272,269
E1BZ05,237,227, ,151,162,98
F1NVG9,234,211, ,316,243,274
E1BWX1,234,211, ,316,243,274
P10587,232,84, ,204,147,88
P27731,232,143,140,330,194,365
F1NKL4,231,166, ,262,219,213
F1NGA2,231,180,232,219,261,257
P28675,230,803,308,424,285,530
E1BRE9,230,803,308,424,285,530
Q9W6H0,230,422,257,293,288,431
F1NNW0,229,184, ,7,16,19
Q02173,228,182, ,7,16,19
F1N9S7,228,216,96,362,175,277
R4GHG5,225,107,138,232,112,278
