Time	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	72	72	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48	12	12	24	24	36	36	48	48			
Treatment	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+ANDV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	EC+SNV	M	M	M	M	M	M	M	M	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+ANDV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV	M+SNV			
Replicate	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2	R1	R2			
HPRT1	4963.00	5599.00	4475.00	4819.00	4420.00	5230.00	3605.00	4114.00	4406.00	4844.00	3458.00	5089.00	4698.50	4177.00	4844.00	5006.00	3969.00	4600.00	3348.00	3919.50	4894.00	4950.00	5341.50	5503.00	5390.00	5310.00	4711.00	5212.00	4697.50	4790.00	42.00	36.00	19.00	13.50	51.00	55.00	48.00	55.00	34.00	36.00	16.00	14.00	39.00	66.00	39.00	31.00	21.50	21.00	25.00	34.00	56.00	39.00	69.00	87.50	10.0	10.0	8.0
ARG1	23.00	24.00	26.00	23.00	27.00	26.00	25.00	28.00	29.00	26.00	17.00	20.00	27.00	25.00	27.00	30.00	32.00	28.00	25.00	28.00	24.00	27.00	24.00	27.00	28.00	24.00	22.00	24.00	35.00	33.00	8.00	8.00	8.00	8.00	10.00	9.00	8.00	8.00	10.00	14.00	8.00	8.00	8.00	9.00	9.00	8.00	9.00	10.00	10.00	8.00	9.50	9.00	11.00	10.00	8.0	8.0	8.0
CASP3	3797.00	3910.00	3944.00	4291.00	3973.50	4430.00	3109.00	3632.00	3852.00	4058.00	3073.00	3586.00	3819.50	3169.00	4760.00	5080.50	4244.00	4730.00	3056.50	3303.00	3367.50	3638.00	4143.00	4404.00	4602.00	4450.50	4348.00	4669.00	4356.00	4714.00	40.50	40.00	16.00	10.00	43.50	44.50	46.00	46.00	32.00	38.00	14.00	10.00	30.00	56.00	29.00	21.50	21.00	18.00	25.00	28.00	42.00	35.50	53.00	58.00	7.0	7.0	6.0
CASP7	2470.00	2582.50	2737.00	2952.00	2562.00	2821.00	2037.00	2329.00	2335.00	2354.00	1823.00	2210.50	4373.00	3222.50	6631.00	7810.00	6231.00	6577.00	4450.00	4720.00	2365.00	2398.00	3491.00	4083.00	3578.00	3611.00	4235.00	4458.50	6032.50	6245.00	28.00	23.00	25.00	21.00	40.00	45.00	31.00	40.00	34.00	54.50	26.00	21.00	27.00	52.00	31.00	26.50	37.00	46.50	58.50	44.00	65.50	43.50	80.00	58.00	18.0	16.0	13.0
CCL22	262.00	300.50	240.00	234.50	187.00	178.00	150.50	202.00	191.00	179.50	151.50	148.00	240.00	165.00	221.50	205.00	186.50	165.00	161.00	177.00	211.50	247.50	230.00	236.50	208.00	186.50	129.00	181.50	161.00	239.00	87.00	71.00	97.00	91.50	124.00	111.00	84.00	87.00	132.50	136.00	114.00	106.00	70.17	115.00	84.50	90.50	78.00	105.00	112.00	94.00	127.50	75.50	135.00	90.00	77.5	77.0	56.0
CCL5	247.00	228.00	152.00	178.00	136.00	152.00	91.00	98.00	92.00	85.00	207.00	239.00	356.00	362.00	3643.50	4974.00	9571.50	7348.00	11759.00	12705.00	238.00	231.50	199.00	304.00	186.50	271.00	470.00	484.00	6184.50	4866.50	4.00	4.00	4.00	3.33	5.00	4.00	4.00	4.00	4.00	7.00	3.50	3.33	4.00	4.00	4.00	4.00	5.00	4.00	4.00	4.00	5.00	4.00	4.00	5.00	4.0	3.0	3.0
CCR7	26.00	25.00	27.50	27.00	34.00	28.00	29.00	35.00	36.00	29.50	15.00	19.00	30.00	21.00	37.00	35.00	35.00	33.00	32.00	32.00	20.00	17.00	22.00	23.00	30.00	31.00	26.00	26.00	29.00	31.00	7.67	7.67	7.67	7.67	13.00	10.00	7.67	8.00	12.50	15.00	9.00	8.00	7.67	11.00	10.00	7.67	9.00	12.00	14.00	9.00	16.00	7.67	16.00	10.50	8.0	8.0	7.0
