Sample	M-12	M-24	M-36	M-48	M+ANDV-12	M+ANDV-24	M+ANDV-36	M+ANDV-48	M+SNV-12	M+SNV-24	M+SNV-36	M+SNV-48
ARG1	-11.67	-9.92	-4.37	-11.92	-3.62	-9.38	-11.54	-4.88	-3.59	-2.96	-4.95	-4.31
CASP3	0.05	-0.05	-0.18	0.02	0.04	0.14	-0.35	-0.41	0.24	0.23	-0.40	-0.36
CASP7	-1.40	-0.05	-0.78	-1.33	-0.43	0.63	-1.39	-0.95	0.81	1.45	0.09	0.11
CCL22	-0.96	1.47	0.37	-1.48	1.34	2.72	-11.12	-1.05	-0.63	1.42	0.30	0.12
CCL5	-5.59	-3.84	-4.64	-5.84	-5.19	-5.24	-5.45	-5.45	-2.86	-4.53	-4.80	-6.46
CCR7	-11.26	-9.50	-2.96	-11.50	-2.35	-2.31	-11.12	-3.66	-3.18	-1.31	-2.48	-2.84
CD14	2.85	4.14	3.87	4.33	1.16	3.28	3.68	3.74	1.20	2.80	3.23	2.79
CD200R1	-11.67	-9.92	-5.37	-11.92	-4.61	-9.38	-11.54	-11.54	-3.59	-2.96	-4.54	-4.89
CD274	-5.59	-9.92	-4.64	-5.84	-1.78	-3.30	-5.45	-5.45	-4.17	-10.61	-4.80	-4.48
CD80	-6.57	-9.50	-4.96	-6.82	-6.17	-4.28	-6.43	-6.43	-3.18	-5.51	-5.12	-4.16
CD86	0.14	0.94	0.87	1.12	-0.23	0.58	1.09	0.66	-0.15	0.42	0.74	0.49
CXCL10	-6.57	-2.85	-4.96	-6.82	-4.20	-2.31	-4.47	-4.47	-2.38	-2.74	-5.12	-4.67
CXCL11	-5.28	-9.50	-5.63	-11.50	-10.85	-8.97	-11.12	-11.12	-9.83	-10.20	-5.79	-6.14
IDO1	-5.02	-9.92	-4.37	-5.26	-4.61	-2.72	-4.88	-4.88	-2.60	-3.96	-4.54	-5.88
IFNA1	-11.67	-9.92	-5.37	-5.26	-11.27	-9.38	-11.54	-4.88	-3.59	-10.61	-6.52	-5.88
IFNB1	-11.67	-9.92	-6.35	-11.92	-11.27	-9.38	-11.54	-11.54	-10.25	-10.61	-12.19	-12.54
IFNG	-2.09	-1.21	-1.66	-2.24	-2.75	-2.50	-2.83	-3.22	-2.48	-1.60	-2.13	-2.48
IFR3	-0.39	0.05	-0.21	0.15	-0.27	0.07	-0.01	-0.11	-0.28	0.28	0.04	-0.09
IL10	-1.53	-0.21	-0.51	0.45	-3.40	-1.00	-0.51	-0.04	-2.38	-1.55	-0.25	-0.72
IL12A	-11.67	-9.92	-4.79	-11.92	-3.30	-3.71	-11.54	-11.54	-10.25	-3.38	-4.22	-4.09
IL15	-1.91	-2.53	-3.50	-3.85	-2.75	-9.38	-4.15	-4.15	-2.19	-2.09	-2.81	-3.16
IL1A	-4.28	-2.53	-2.26	-3.39	-2.12	-0.51	-11.54	-2.67	-1.73	-1.75	-2.13	-1.84
IL1B	-1.61	-2.53	-0.31	-0.16	0.77	-3.30	-1.95	-0.21	-1.73	-2.55	-0.65	-0.64
IL1RN	3.14	-0.40	-1.54	-3.53	3.95	0.76	0.15	-3.15	3.34	0.95	-1.23	-1.02
IL6	-4.60	-0.21	-1.82	-3.53	-1.25	0.76	-11.12	-2.47	-0.94	-0.60	-1.61	-1.74
IL8	5.43	5.04	4.57	4.22	5.67	5.06	4.30	4.53	4.84	4.53	4.25	3.79
IRF7	0.14	0.97	-0.13	-0.72	0.83	1.85	-0.19	-0.19	1.01	0.62	0.07	-0.03
ITGAM	-1.68	0.91	0.28	-0.12	0.67	1.73	-0.30	-0.07	1.21	1.28	0.71	1.21
NFKB1	0.80	0.31	0.29	0.43	1.21	-0.74	0.39	0.02	0.15	-0.02	0.01	-0.09
NOS2	-11.26	-3.52	-4.50	-5.52	-4.87	-2.98	-5.14	-5.14	-3.85	-4.22	-5.79	-6.14
PPARG	0.68	0.23	0.02	-1.16	0.56	1.38	0.80	-0.95	1.17	1.04	1.09	0.94
TGFB1	3.99	3.21	2.41	2.62	4.05	3.48	2.87	2.15	3.68	2.97	2.46	2.31
TLR3	-3.61	-1.85	-1.72	-11.92	-2.40	-1.32	-11.54	-11.54	-0.57	0.09	-1.32	-1.60
TLR7	-3.80	-2.05	-1.64	-0.35	-6.17	-4.28	-2.47	-1.75	-3.18	-3.54	-1.86	-2.84
TNF	1.09	0.53	0.71	1.17	1.91	0.58	1.04	1.41	1.20	1.18	1.13	0.66
VEGFA	-2.36	-2.85	-3.64	-3.53	-3.40	-4.28	-4.47	-4.47	-5.15	-5.51	-4.32	-4.67
