	EC_12_R1	EC_12_R2	EC_24_R1	EC_24_R2	EC_36_R1	EC_36_R2	EC_48_R1	EC_48_R2	EC_72_R1	EC_72_R2	EC+ANDV_12_R1	EC+ANDV_12_R2	EC+ANDV_24_R1	EC+ANDV_24_R2	EC+ANDV_36_R1	EC+ANDV_36_R2	EC+ANDV_48_R1	EC+ANDV_48_R2	EC+ANDV_72_R1	EC+ANDV_72_R2	EC+SNV_12_R1	EC+SNV_12_R2	EC+SNV_24_R1	EC+SNV_24_R2	EC+SNV_36_R1	EC+SNV_36_R2	EC+SNV_48_R1	EC+SNV_48_R2	EC+SNV_72_R1	EC+SNV_72_R2	M_12_R1	M_12_R2	M_24_R1	M_24_R2	M_36_R1	M_36_R2	M_48_R1	M_48_R2	M+ANDV_12_R1	M+ANDV_12_R2	M+ANDV_24_R1	M+ANDV_24_R2	M+ANDV_36_R1	M+ANDV_36_R2	M+ANDV_48_R1	M+ANDV_48_R2	M+SNV_12_R1	M+SNV_12_R2	M+SNV_24_R1	M+SNV_24_R2	M+SNV_36_R1	M+SNV_36_R2	M+SNV_48_R1	M+SNV_48_R2
HPRT1	4963.0	5599.0	4475.0	4819.0	4420.0	5230.0	3605.0	4114.0	4406.0	4844.0	3458.0	5089.0	4698.5	4177.0	4844.0	5006.0	3969.0	4600.0	3348.0	3919.5	4894.0	4950.0	5341.5	5503.0	5390.0	5310.0	4711.0	5212.0	4697.5	4790.0	42.0	36.0	19.0	13.5	51.0	55.0	48.0	55.0	34.0	36.0	16.0	14.0	39.0	66.0	39.0	31.0	21.5	21.0	25.0	34.0	56.0	39.0	69.0	87.5
ARG1	23.0	24.0	26.0	23.0	27.0	26.0	25.0	28.0	29.0	26.0	17.0	20.0	27.0	25.0	27.0	30.0	32.0	28.0	25.0	28.0	24.0	27.0	24.0	27.0	28.0	24.0	22.0	24.0	35.0	33.0	8.0	8.0	8.0	8.0	10.0	9.0	8.0	8.0	10.0	14.0	8.0	8.0	8.0	9.0	9.0	8.0	9.0	10.0	10.0	8.0	9.5	9.0	11.0	10.0
CASP3	3797.0	3910.0	3944.0	4291.0	3973.5	4430.0	3109.0	3632.0	3852.0	4058.0	3073.0	3586.0	3819.5	3169.0	4760.0	5080.5	4244.0	4730.0	3056.5	3303.0	3367.5	3638.0	4143.0	4404.0	4602.0	4450.5	4348.0	4669.0	4356.0	4714.0	40.5	40.0	16.0	10.0	43.5	44.5	46.0	46.0	32.0	38.0	14.0	10.0	30.0	56.0	29.0	21.5	21.0	18.0	25.0	28.0	42.0	35.5	53.0	58.0
CASP7	2470.0	2582.5	2737.0	2952.0	2562.0	2821.0	2037.0	2329.0	2335.0	2354.0	1823.0	2210.5	4373.0	3222.5	6631.0	7810.0	6231.0	6577.0	4450.0	4720.0	2365.0	2398.0	3491.0	4083.0	3578.0	3611.0	4235.0	4458.5	6032.5	6245.0	28.0	23.0	25.0	21.0	40.0	45.0	31.0	40.0	34.0	54.5	26.0	21.0	27.0	52.0	31.0	26.5	37.0	46.5	58.5	44.0	65.5	43.5	80.0	58.0
CCL22	262.0	300.5	240.0	234.5	187.0	178.0	150.5	202.0	191.0	179.5	151.5	148.0	240.0	165.0	221.5	205.0	186.5	165.0	161.0	177.0	211.5	247.5	230.0	236.5	208.0	186.5	129.0	181.5	161.0	239.0	87.0	71.0	97.0	91.5	124.0	111.0	84.0	87.0	132.5	136.0	114.0	106.0	70.17	115.0	84.5	90.5	78.0	105.0	112.0	94.0	127.5	75.5	135.0	90.0
CCL5	247.0	228.0	152.0	178.0	136.0	152.0	91.0	98.0	92.0	85.0	207.0	239.0	356.0	362.0	3643.5	4974.0	9571.5	7348.0	11759.0	12705.0	238.0	231.5	199.0	304.0	186.5	271.0	470.0	484.0	6184.5	4866.5	4.0	4.0	4.0	3.33	5.0	4.0	4.0	4.0	4.0	7.0	3.5	3.33	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0
CCR7	26.0	25.0	27.5	27.0	34.0	28.0	29.0	35.0	36.0	29.5	15.0	19.0	30.0	21.0	37.0	35.0	35.0	33.0	32.0	32.0	20.0	17.0	22.0	23.0	30.0	31.0	26.0	26.0	29.0	31.0	7.67	7.67	7.67	7.67	13.0	10.0	7.67	8.0	12.5	15.0	9.0	8.0	7.67	11.0	10.0	7.67	9.0	12.0	14.0	9.0	16.0	7.67	16.0	10.5
CD14	37.0	34.0	34.0	37.5	35.0	41.0	27.0	32.0	30.0	25.0	27.0	32.0	45.0	30.0	41.0	39.5	38.0	35.5	35.0	34.5	35.5	36.0	44.5	39.0	37.0	41.0	32.0	30.0	30.0	37.0	240.0	224.0	175.0	95.0	615.0	659.0	783.0	759.0	59.0	63.0	69.0	52.0	384.0	592.0	401.0	288.0	32.0	32.0	113.0	175.0	441.0	296.5	415.5	711.5
CD200R1	61.0	70.5	80.0	88.0	91.5	87.0	67.0	83.5	73.0	69.0	39.0	38.0	86.0	41.5	84.5	75.5	79.0	77.0	73.0	72.0	33.0	31.5	53.0	51.0	65.0	52.0	51.0	42.0	56.5	56.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	9.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.5	6.0	5.0	6.0	5.5	6.0	7.0
CD274	1293.0	1481.5	976.0	1043.0	827.0	992.5	792.0	837.5	984.5	1053.0	943.0	1479.0	1423.0	1620.5	4360.0	5709.0	5400.5	4995.0	3143.0	3617.0	1221.0	1440.0	1303.0	1276.0	1260.5	1202.0	1473.0	1407.0	4118.5	3794.5	7.0	7.0	6.33	6.33	8.0	7.0	7.0	9.0	13.5	13.0	7.0	6.33	7.0	7.0	7.0	6.33	7.0	7.0	6.33	7.0	8.0	7.0	9.0	9.0
CD80	22.0	22.5	24.0	26.0	23.0	24.0	30.0	24.0	24.0	25.0	45.0	40.0	199.0	276.0	5137.0	7463.5	9406.5	7992.0	4197.0	5056.0	41.0	38.0	56.5	150.0	72.0	161.0	504.0	598.5	7806.0	8073.0	9.0	9.0	8.67	8.67	10.0	9.0	9.0	9.0	9.0	12.0	9.0	8.67	9.0	9.0	9.0	9.0	10.0	10.0	9.0	10.0	10.0	9.0	12.0	11.0
CD86	52.0	58.0	46.0	48.0	35.0	35.5	27.0	33.0	31.0	33.0	42.5	31.0	43.0	46.0	43.0	42.0	38.0	39.0	32.0	40.0	48.0	44.0	39.0	44.0	40.5	34.5	25.5	44.0	34.5	51.0	43.0	39.0	25.5	16.0	83.0	85.0	91.0	116.0	28.0	37.0	17.0	13.5	70.0	96.0	54.0	41.5	18.0	17.0	28.0	47.0	85.0	67.0	91.0	115.0
CXCL10	62.5	75.0	63.0	59.0	45.5	35.0	38.5	47.0	33.0	34.0	118.5	85.0	276.0	371.0	5406.5	8864.0	11967.5	8674.5	1767.0	2067.0	98.0	71.0	81.5	216.0	75.5	157.0	479.0	626.0	6547.0	7104.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	7.0	5.0	4.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	6.0	6.0
