Gene	Location	BL6 reads	sp reads	p-low	p-high	Xa-SRPM	Xi-SRPM	SNP #	BL6 covered SNPs	sp covered SNPs
AU022751	chrX:5658335-5660538	86	84	0.398	0.595	11	11	27	23	23
Bmp15	chrX:5891223-5897841	186	195	0.448	0.580	24	25	35	34	34
Cybb	chrX:9012377-9046450	241	16	0.024	0.102	31	2	73	62	14
1810030O07Rik	chrX:12232009-12250672	1028	20	0.008	0.030	131	3	33	32	15
Usp9x	chrX:12648623-12750453	1072	22	0.009	0.031	137	3	35	28	14
Ddx3x	chrX:12858147-12871109	1690	518	0.213	0.260	216	66	16	16	15
Kdm6a	chrX:17739792-17856484	221	99	0.245	0.378	28	13	10	10	9
Uba1	chrX:20235546-20260305	2656	21	0.003	0.012	340	3	21	21	15
Lamp2	chrX:35758240-35809632	5546	22	0.002	0.006	709	3	18	18	7
Utp14a	chrX:45610110-45635626	366	35	0.052	0.125	47	4	18	18	14
Firre*	chrX:47908920-47988435	3873	37	0.006	0.014	495	5	1356	344	30
Mmgt1	chrX:53838688-53851096	1312	31	0.013	0.034	168	4	37	37	15
Idh3g	chrX:71024301-71032236	977	25	0.012	0.038	125	3	5	5	4
Flna	chrX:71468799-71491873	6716	37	0.003	0.008	859	5	32	32	16
AU015836	chrX:91213994-91220809	46	33	0.277	0.563	6	4	23	19	21
Eif2s3x	chrX:91434047-91457990	2960	1036	0.243	0.279	379	133	32	32	30
Kif4	chrX:97821403-97922610	263	19	0.029	0.107	34	2	40	38	20
Xist	chrX:100655711-100678572	56	14465	0.995	0.998	7	1849	150	38	140
Ftx	chrX:100756248-100819093	264	34	0.067	0.163	34	4	43	25	5
Slc16a2	chrX:100892752-101017327	297	20	0.028	0.099	38	3	22	20	1
Rlim	chrX:101152505-101176623	1636	18	0.004	0.018	209	2	60	56	13
5530601H04Rik	chrX:102236192-102265463	184	82	0.237	0.384	24	10	53	40	21
Pbdc1	chrX:102275113-102280525	204	78	0.210	0.347	26	10	22	20	11
Sh3bgrl	chrX:106290745-106357806	6625	21	0.001	0.005	847	3	38	38	14
Fam199x	chrX:133584132-133617040	443	17	0.014	0.060	57	2	73	68	14
Rnf128	chrX:136097878-136207684	2049	67	0.022	0.042	262	9	25	22	19
Tmem164	chrX:139115942-139278037	1794	21	0.005	0.018	229	3	57	57	18
Alg13	chrX:140752508-140808991	224	19	0.034	0.124	29	2	12	11	6
Tmem29	chrX:146832315-146893693	138	16	0.041	0.169	18	2	11	4	2
Huwe1	chrX:148237824-148369961	2042	22	0.005	0.017	261	3	43	43	11
Kdm5c	chrX:148667772-148708897	711	253	0.228	0.301	91	32	35	35	31
Pdha1	chrX:156560150-156576268	5673	16	0.001	0.005	725	2	24	24	13
Car5b	chrX:160414753-160465942	2198	79	0.025	0.045	281	10	50	39	11
